Division,Date,Status,Champion,State After Event,End date,Days in state,Controversy ,Controversy Start Date,Controversy End Date,Exact Controversy,,,
LHW,13/04/2024,Title defended,Alex Pereira ,Active,29/06/2024,77,,,,,,,
LHW,29/06/2024,Title defended,Alex Pereira ,Active,05/10/2024,98,,,,,,,
LHW,05/10/2024,Title defended,Alex Pereira ,Active,08/03/2025,154,,,,,,,
LHW,08/03/2025,Title won,Magomed Ankalaev,Active,04/10/2025,210,,,,,,,
LHW,04/10/2025,Title won,Alex Pereira ,Active,27/02/2026,146,,,,,,,
LHW,27/02/2026,Title vacated,,Vacant,11/04/2026,43,1,27/02/2026,11/04/2026,Vacant Title,,,
LHW,11/04/2026,Title won,Carlos Ulberg,Active,29/07/2026,109,,,,,,,
HW,10/12/2017,Active champion,Stipe Miocic,Active,20/01/2018,41,,,,,,,
HW,20/01/2018,Title defended,Stipe Miocic,Active,07/07/2018,168,,,,,,,
HW,07/07/2018,Title won,Daniel Cormier,Active,03/11/2018,119,,,,,,,
HW,03/11/2018,Title defended,Daniel Cormier,Active,17/08/2019,287,,,,,,,
HW,17/08/2019,Title won,Stipe Miocic,Active,15/08/2020,364,,,,,,,
HW,15/08/2020,Title defended,Stipe Miocic,Active,27/03/2021,224,,,,,,,
HW,27/03/2021,Title won,Francis Ngannou,Active,07/08/2021,133,,,,,,,
HW,07/08/2021,Interim title won,Ciryl Gane,Active + Interim,22/01/2022,168,,,,,,,
HW,22/01/2022,Title defended,Francis Ngannou,Active,14/01/2023,357,,,,,,,
HW,14/01/2023,Title stripped,,Vacant,04/03/2023,49,1,14/01/2023,04/03/2023,Vacant Title,,,
HW,04/03/2023,Title won,Jon Jones,Active,11/11/2023,252,,,,,,,
HW,11/11/2023,Interim title won,Tom Aspinall,Active + Interim,16/11/2024,371,1,16/11/2024,21/06/2025,Tom Aspinall was the interim champion but not given the next title shot,,,
HW,16/11/2024,Title defended,Jon Jones,Active + Interim,21/06/2025,217,1,16/11/2024,21/06/2025,,,,
HW,21/06/2025,Title stripped,,Active,21/06/2025,0,1,,,,,,
HW,21/06/2025,Title won,Tom Aspinall,Active,29/07/2026,403,,,,,,,
HW,14/06/2026,Interim title won,Cyril Gane,Active + Interim,29/07/2026,45,,,,,,,
